Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-09 19:00:00,0.0,0.2752259212484075,-1.03,0.194,5.490111023097955,668.8655135040553
2021-06-09 19:30:00,0.0,0.2746500114850723,-1.0,0.194,5.42666096572944,661.1353319057047
2021-06-09 20:00:00,0.0,0.0001674972640202,-0.93,0.195,4.661997957821587,567.9757012005979
2021-06-09 20:30:00,0.0,0.0001594050193278,-0.84,0.195,3.669526348779159,447.0619292153869
2021-06-09 21:00:00,0.0,0.0001627749770387,-0.76,0.198,3.3096655773434005,403.219744847224
2021-06-09 21:30:00,0.0,3.395668314574881e-07,-0.72,0.198,3.171512131239018,386.3883774518849
2021-06-09 22:00:00,0.0,0.0001777106797224,-0.65,0.199,2.2258598478214964,271.1786489995396
2021-06-09 22:30:00,0.0,0.0001956682323844,-0.6,0.199,2.3280053630521347,283.6231354970685
2021-06-09 23:00:00,0.0,0.0002004634864577,-0.54,0.2,2.008086654719199,244.6471311451716
2021-06-09 23:30:00,0.0,4.381914851147564e-07,-0.51,0.2,2.136728896834751,260.31973939825184
2021-06-10 00:00:00,0.0,0.0002187250399531,-0.44,0.201,1.8647366742216585,227.1826649598995
2021-06-10 00:30:00,0.0,0.0004762828094842,-0.44,0.201,1.1083295819224284,135.02886040471483
2021-06-10 01:00:00,0.0,0.0002273842718894,-0.47,0.201,0.8524945723509199,103.86023479233096
2021-06-10 01:30:00,0.0,4.59560691786149e-07,-0.5,0.201,0.8819708166422321,107.45135402309552
2021-06-10 02:00:00,0.0,4.439631430099785e-07,-0.51,0.201,0.8896345188046093,108.38503023849712
2021-06-10 02:30:00,0.0,4.447165673323253e-07,-0.54,0.201,0.7275056081593523,88.63270890722444
2021-06-10 03:00:00,0.0,4.454239135003785e-07,-0.51,0.201,0.3559384377968458,43.36432268331029
2021-06-10 03:30:00,0.0,4.107878283984303e-07,-0.52,0.201,0.41316508455318823,50.33630017297448
2021-06-10 04:00:00,0.0,3.8250182995568076e-07,-0.58,0.202,0.8542631687084291,104.07570458991246
2021-06-10 04:30:00,0.0,4.3958482832243094e-07,-0.53,0.202,0.3411881026244432,41.56727514311704
2021-06-10 05:00:00,0.0,3.910713331924574e-07,-0.56,0.201,1.2097141956828195,147.3806455432946
2021-06-10 05:30:00,0.0,4.213756495653441e-07,-0.51,0.201,0.3777680185972654,46.02384153643028
2021-06-10 06:00:00,0.0,4.240923503850225e-07,-0.53,0.202,0.3087355605944781,37.61355069236157
2021-06-10 06:30:00,0.0,4.161797903296864e-07,-0.55,0.202,0.10510741529099825,12.805337634506923
2021-06-10 07:00:00,0.0,3.965454453312327e-07,-0.54,0.202,0.43263232020345826,52.70801224126246
2021-06-10 07:30:00,0.0,3.531187384532568e-07,-0.52,0.202,0.7699566314140254,93.80455795518547
2021-06-10 08:00:00,0.0,3.311238242672056e-07,-0.5,0.202,0.7699566314140254,93.80455795518547
2021-06-10 08:30:00,0.0,3.40752952909712e-07,-0.5,0.202,0.7451937990436646,90.78767823826672
2021-06-10 09:00:00,0.0,0.0085635052126136,-0.52,0.202,0.9975113923740524,121.52777364234944
2021-06-10 09:30:00,0.0,0.008566482862551,-0.6,0.202,1.6577428315442952,201.9644057494606
2021-06-10 10:00:00,0.0,0.1030980605625007,-0.73,0.201,2.0712224237176535,252.33902268870463
2021-06-10 10:30:00,0.0,0.1031765579683962,-0.87,0.201,2.801426845125278,341.3005306132099
2021-06-10 11:00:00,0.0,0.4278171074238641,-1.01,0.2,3.749214679339454,456.7704352758738
2021-06-10 11:30:00,0.0,0.4281428260861855,-1.15,0.2,4.614062261929274,562.1356492028708
2021-06-10 12:00:00,0.0,0.6363012914625267,-1.13,0.199,5.03485379401569,613.4010868238976
2021-06-10 12:30:00,0.0,0.6342104235133504,-1.13,0.199,4.95127673710573,603.2188134869743
2021-06-10 13:00:00,0.0,0.1814457193260804,-0.93,0.11599999999999999,4.905009036338112,597.5819749417454
2021-06-10 13:30:00,0.0,0.1820961614194905,-0.98,0.11599999999999999,4.550580140181677,554.4015611703354
2021-06-10 14:00:00,0.0,0.1422443679684369,-0.87,0.11599999999999999,3.1792174332615075,387.327121818309
2021-06-10 14:30:00,0.0,0.1420564851827054,-0.78,0.11599999999999999,2.7002845437215317,328.9782666224127
2021-06-10 15:00:00,0.0,0.0778731267838378,-0.75,0.11599999999999999,1.9355213641626547,235.8064319085857
2021-06-10 15:30:00,0.0,0.0778711555741945,-0.76,0.11599999999999999,2.0310976532686094,247.45058326048192
2021-06-10 16:00:00,0.0,0.2552152968639143,-0.8,0.11599999999999999,2.036408061134437,248.09755536526248
2021-06-10 16:30:00,0.0,0.2548125385152096,-0.91,0.11599999999999999,2.5985943058520395,316.58924700427264
2021-06-10 17:00:00,0.0,0.2765165130028652,-0.85,0.11533333333333333,2.597412106586882,316.445218529215
2021-06-10 17:30:00,0.0,0.2778947696834914,-0.86,0.11533333333333333,3.2883128379222146,400.6183200385849
2021-06-10 18:00:00,0.0,0.2843279208203428,-0.89,0.11499999999999999,3.2385000399354635,394.5495788848439
2021-06-10 18:30:00,0.0,0.2850876865194609,-0.96,0.11499999999999999,3.498400739241119,426.2135313932299
2021-06-10 19:00:00,0.0,0.2319320221461378,-0.94,0.11366666666666665,3.7920506643415393,461.98918458428113
2021-06-10 19:30:00,0.0,0.2320896402724188,-0.94,0.11366666666666665,4.270131764082912,520.2342654086495
2021-06-10 20:00:00,0.0,0.0705737326675339,-0.86,0.11266666666666665,3.7623020734218304,458.3648851014803
2021-06-10 20:30:00,0.0,0.0705729041238968,-0.85,0.11266666666666665,3.1472129270772533,383.4279820061426
2021-06-10 21:00:00,0.0,2.568296960989301e-07,-0.73,0.11299999999999999,3.0044445807468243,366.0343768716252
2021-06-10 21:30:00,0.0,2.7056619091722044e-07,-0.62,0.11299999999999999,2.10899056882663,256.9403521820664
2021-06-10 22:00:00,0.0,3.211040020318612e-07,-0.51,0.11399999999999999,1.412488930870994,172.08488682487703
2021-06-10 22:30:00,0.0,0.0001842092642676,-0.42,0.11399999999999999,2.0499794107376514,249.75096595807324
2021-06-10 23:00:00,0.0,0.0002241775180891,-0.4,0.11466666666666665,2.0930566903476375,254.99911242095345
2021-06-10 23:30:00,0.0,0.0002736819842766,-0.37,0.11466666666666665,1.2415442896200786,151.2585365434321
2021-06-11 00:00:00,0.0,0.000630614236585,-0.36,0.11533333333333333,1.4578803028464349,177.61496138935732
2021-06-11 00:30:00,0.0,0.000334025093785,-0.4,0.11533333333333333,1.2439020802257925,151.54578844372904
2021-06-11 01:00:00,0.0,0.0005887213693452,-0.62,0.11533333333333333,1.4761551892114122,179.8414083958591
2021-06-11 01:30:00,0.0,0.0003346166486825,-0.58,0.11533333333333333,1.7172982075631373,209.22009456798875
2021-06-11 02:00:00,0.0,0.0003245832450025,-0.57,0.11566666666666665,2.180406194395867,265.6409866259992
