Unnamed: 0,Rain(mm),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-09 13:30:00,0.0,-0.86,0.09900000000000002,10.596626432304735,948.8197859807499
2021-06-09 14:00:00,0.0,-0.81,0.09866666666666668,10.234972937187475,925.6074786794164
2021-06-09 14:30:00,0.0,-0.81,0.09866666666666668,10.536346368779736,948.2500953805752
2021-06-09 15:00:00,0.0,-1.04,0.09833333333333334,13.300877165550485,1208.9159719732086
2021-06-09 15:30:00,0.0,-1.18,0.09833333333333334,15.859455302404388,1460.7134131113462
2021-06-09 16:00:00,0.0,-1.12,0.09800000000000002,15.543058835202787,1439.5165709198254
2021-06-09 16:30:00,0.0,-0.94,0.09800000000000002,14.187250342720837,1309.3522091750995
2021-06-09 17:00:00,0.0,-0.93,0.09733333333333334,15.041384626516045,1382.7282902433128
2021-06-09 17:30:00,0.0,-0.89,0.09733333333333334,14.191995313730374,1311.2326777711614
2021-06-09 18:00:00,0.0,-0.94,0.09733333333333334,14.700050909224458,1348.7102640563626
2021-06-09 18:30:00,0.0,-1.16,0.09733333333333334,15.478017660994432,1450.91286864427
2021-06-09 19:00:00,0.0,-1.29,0.09766666666666668,16.04098149901389,1466.2288608643798
2021-06-09 19:30:00,0.0,-1.07,0.09766666666666668,13.628999526006957,1233.5257531350535
2021-06-09 20:00:00,0.0,-0.87,0.09733333333333334,11.22186467190949,991.9834681487279
2021-06-09 20:30:00,0.0,-0.81,0.09733333333333334,8.776162449131007,762.6342552027631
2021-06-09 21:00:00,0.0,-0.77,0.09633333333333334,6.643152347358095,562.0849716199962
2021-06-09 21:30:00,0.0,-0.66,0.09633333333333334,5.117357780280107,404.92927977414155
2021-06-09 22:00:00,0.0,-0.65,0.09600000000000002,3.484061520923865,269.1414609621274
2021-06-09 22:30:00,0.0,-0.78,0.09600000000000002,2.769881516425879,187.15969384115934
2021-06-09 23:00:00,0.0,-0.77,0.09666666666666668,1.825111988576724,83.18223269395963
2021-06-09 23:30:00,0.0,-0.7,0.09666666666666668,1.4025454003472129,47.05534014394674
2021-06-10 00:00:00,0.0,-0.7,0.09700000000000002,0.8121910104189495,-16.67338976617817
2021-06-10 00:30:00,0.0,-0.59,0.09700000000000002,0.5531518190757084,-25.59656985552848
2021-06-10 01:00:00,0.0,-0.48,0.09700000000000002,0.2416676648546331,-54.86342183089706
2021-06-10 01:30:00,0.0,-0.4,0.09700000000000002,-0.056558577986480785,-96.30494404992334
2021-06-10 02:00:00,0.0,-0.36,0.09700000000000002,-0.04027768948370747,-82.35397127840774
2021-06-10 02:30:00,0.0,-0.31,0.09700000000000002,-0.3286745304954623,-98.34333635864215
2021-06-10 03:00:00,0.0,-0.36,0.09766666666666668,-0.3286745304954623,-98.34333635864215
2021-06-10 03:30:00,0.0,-0.35,0.09766666666666668,-0.2549744517794843,-77.0074833249158
2021-06-10 04:00:00,0.0,-0.31,0.09766666666666668,-0.2136659088207756,-73.04397176877147
2021-06-10 04:30:00,0.0,-0.38,0.09766666666666668,-0.2136659088207756,-73.04397176877147
2021-06-10 05:00:00,0.0,-0.37,0.09766666666666668,0.0,0.0
2021-06-10 05:30:00,0.0,-0.43,0.09766666666666668,0.0,0.0
2021-06-10 06:00:00,0.0,-0.41,0.09766666666666668,0.0,0.0
2021-06-10 06:30:00,0.0,-0.4,0.09766666666666668,0.0,0.0
2021-06-10 07:00:00,0.0,-0.41,0.09733333333333334,0.0,0.0
2021-06-10 07:30:00,0.0,-0.44,0.09733333333333334,0.0,0.0
2021-06-10 08:00:00,0.0,-0.41,0.09766666666666668,0.0,0.0
2021-06-10 08:30:00,0.0,-0.42,0.09766666666666668,0.0,0.0
2021-06-10 09:00:00,0.0,-0.38,0.09800000000000002,0.0,0.0
2021-06-10 09:30:00,0.0,-0.43,0.09800000000000002,0.9644139168040584,12.4204823235362
2021-06-10 10:00:00,0.0,-0.5,0.09766666666666668,3.0989442970893677,224.1352998698478
2021-06-10 10:30:00,0.0,-0.69,0.09766666666666668,5.786629704561582,489.9240352912255
2021-06-10 11:00:00,0.0,-0.81,0.09700000000000002,9.214093499322725,820.1202057169234
2021-06-10 11:30:00,0.0,-0.9,0.09700000000000002,12.767432040615827,1193.725572405987
2021-06-10 12:00:00,0.0,-1.01,0.09733333333333334,14.51879208538265,1366.3636631927582
2021-06-10 12:30:00,0.0,-0.87,0.09733333333333334,13.420325852794686,1231.3465485323231
2021-06-10 13:00:00,0.0,-0.85,0.09633333333333334,13.405651578669447,1258.7540158202921
2021-06-10 13:30:00,0.0,-0.85,0.09633333333333334,13.287243957514022,1219.155305020681
2021-06-10 14:00:00,0.0,-0.83,0.09666666666666668,10.421534260250407,929.0427725749199
2021-06-10 14:30:00,0.0,-0.73,0.09666666666666668,7.559774306543323,642.4658481825796
2021-06-10 15:00:00,0.0,-0.65,0.09833333333333334,7.010158521195006,603.311716504124
2021-06-10 15:30:00,0.0,-0.6,0.09833333333333334,6.46399518948094,538.9817703799649
2021-06-10 16:00:00,0.0,-0.61,0.09833333333333334,7.196080449313614,615.0208858398568
2021-06-10 16:30:00,0.0,-0.82,0.09833333333333334,9.696448293166148,854.7836763265926
2021-06-10 17:00:00,0.0,-0.85,0.09866666666666668,9.538385670105905,842.9697359718095
2021-06-10 17:30:00,0.0,-0.79,0.09866666666666668,9.874915932990806,877.9082055559134
2021-06-10 18:00:00,0.0,-0.89,0.09800000000000002,10.499445799868887,968.8389593139608
2021-06-10 18:30:00,0.0,-1.03,0.09800000000000002,12.541784920047519,1148.1316049338652
2021-06-10 19:00:00,0.0,-1.12,0.09866666666666668,13.075799642669379,1215.4633995823262
2021-06-10 19:30:00,0.0,-1.06,0.09866666666666668,12.753980096871608,1171.4033262453272
2021-06-10 20:00:00,0.0,-1.05,0.09800000000000002,11.22781649263013,999.7654717957429
2021-06-10 20:30:00,0.0,-0.86,0.09800000000000002,10.184360736182668,893.0374155301962
2021-06-10 21:00:00,0.0,-0.81,0.09766666666666668,7.433400442250676,620.7493058019923
2021-06-10 21:30:00,0.0,-0.74,0.09766666666666668,5.678849618215373,462.5374947764905
2021-06-10 22:00:00,0.0,-0.77,0.09733333333333334,4.210213041770296,311.31449905394373
2021-06-10 22:30:00,0.0,-0.92,0.09733333333333334,3.19815013096842,216.91824270809826
2021-06-10 23:00:00,0.0,-0.94,0.09766666666666668,2.596015878541373,143.73433028950447
2021-06-10 23:30:00,0.0,-0.83,0.09766666666666668,2.570899527838966,160.27786327619455
2021-06-11 00:00:00,0.0,-0.72,0.09800000000000002,3.0422605579049526,235.868070582303
2021-06-11 00:30:00,0.0,-0.62,0.09800000000000002,2.067306402474433,117.27485706509562
2021-06-11 01:00:00,0.0,-0.21,0.09900000000000002,3.7945786268745056,281.4843287692633
2021-06-11 01:30:00,0.0,-0.34,0.09900000000000002,2.5973024582582473,160.60114421225063
2021-06-11 02:00:00,0.0,-0.39,0.09900000000000002,2.2624087254767504,113.21074554026809
2021-06-11 02:30:00,0.0,-0.37,0.09900000000000002,1.621537750512743,58.27741603795682
2021-06-11 03:00:00,0.0,-0.37,0.09933333333333334,1.8115658279909024,76.20416116747239
2021-06-11 03:30:00,0.0,-0.37,0.09933333333333334,1.7065597555643137,63.962952615101855
2021-06-11 04:00:00,0.0,-0.48,0.09933333333333334,0.9457525109456345,15.592230857137652
2021-06-11 04:30:00,0.0,-0.33,0.09933333333333334,0.49684720738845733,-52.33037400118351
2021-06-11 05:00:00,0.0,-0.29,0.09966666666666668,0.8619144151986579,-0.4913556269962607
2021-06-11 05:30:00,0.0,-0.34,0.09966666666666668,0.5208494481129178,-36.12415381769568
2021-06-11 06:00:00,0.0,-0.39,0.09966666666666668,0.14210477437971702,-83.67947179616499
2021-06-11 06:30:00,0.0,-0.31,0.09966666666666668,0.35771018480980976,-49.8350890272508
2021-06-11 07:00:00,0.0,-0.24,0.10000000000000002,0.7775513832970466,3.550518606257989
2021-06-11 07:30:00,0.0,-0.43,0.10000000000000002,2.2308894867701037,138.77854225831297
2021-06-11 08:00:00,0.0,-0.63,0.10000000000000002,3.828077374768857,284.96148091646876
2021-06-11 08:30:00,0.0,-0.72,0.10000000000000002,3.855145091855469,284.8405911050413
2021-06-11 09:00:00,0.0,-0.72,0.09933333333333334,4.146325847110578,327.8284324779268
2021-06-11 09:30:00,0.0,-0.83,0.09933333333333334,7.19935880115695,642.4503854870476
2021-06-11 10:00:00,0.0,-0.84,0.09933333333333334,9.842996484511595,887.5454598322239
2021-06-11 10:30:00,0.0,-1.02,0.09933333333333334,13.275448114402309,1199.575667911061
2021-06-11 11:00:00,0.0,-1.03,0.09833333333333334,16.379994125729162,1513.5375748852234
2021-06-11 11:30:00,0.0,-1.1,0.09833333333333334,17.862357626369228,1678.8333754608834
2021-06-11 12:00:00,0.0,-1.12,0.09766666666666668,18.563907715574686,1730.7806920101357
2021-06-11 12:30:00,0.0,-1.18,0.09766666666666668,18.970201740612655,1747.3926592138246
2021-06-11 13:00:00,0.0,-1.26,0.09666666666666668,20.024470808420197,1847.5306277192701
2021-06-11 13:30:00,0.0,-1.26,0.09666666666666668,20.389608758181843,1905.9676367566033
2021-06-11 14:00:00,0.0,-1.23,0.09600000000000002,20.04036605124228,1835.050983903734
2021-06-11 14:30:00,0.0,-1.45,0.09600000000000002,21.984311624246576,2067.2712092450365
2021-06-11 15:00:00,0.0,-1.41,0.09566666666666668,20.507574231667284,1885.2398259769152
2021-06-11 15:30:00,0.0,-1.2,0.09566666666666668,17.966732000043,1635.6564267822944
2021-06-11 16:00:00,0.0,-1.13,0.09466666666666668,16.303975147037136,1491.867090383749
2021-06-11 16:30:00,0.0,-1.27,0.09466666666666668,17.93623937216013,1665.5677926251976
2021-06-11 17:00:00,0.0,-1.19,0.09500000000000001,16.772564805169704,1544.503832223644
2021-06-11 17:30:00,0.0,-1.07,0.09500000000000001,14.24572928019926,1276.4408005812136
2021-06-11 18:00:00,0.0,-1.09,0.09433333333333334,14.097471345165683,1274.2540562292413
2021-06-11 18:30:00,0.0,-0.99,0.09433333333333334,13.258587398695258,1176.542574622899
2021-06-11 19:00:00,0.0,-0.91,0.09433333333333334,11.217935978725855,996.6466968815531
2021-06-11 19:30:00,0.0,-0.88,0.09433333333333334,10.166202690359857,918.0715633180565
2021-06-11 20:00:00,0.0,-0.81,0.09433333333333334,7.693365281710948,671.8742590043682
2021-06-11 20:30:00,0.0,-0.71,0.09433333333333334,5.873900107706499,480.0657807636663
2021-06-11 21:00:00,0.0,-0.66,0.09433333333333334,4.168999037124948,302.11127279624105
2021-06-11 21:30:00,0.0,-0.59,0.09433333333333334,3.470594968815469,241.84429348246522
2021-06-11 22:00:00,0.0,-0.6,0.09433333333333334,2.8574718342771326,182.91331336528484
2021-06-11 22:30:00,0.0,-0.69,0.09433333333333334,2.1181810841950837,120.59470027058033
2021-06-11 23:00:00,0.0,-0.66,0.09466666666666668,1.595177675733908,68.01079334026186
2021-06-11 23:30:00,0.0,-0.62,0.09466666666666668,1.0397771936987137,13.26482324111584
2021-06-12 00:00:00,0.0,-0.55,0.09500000000000001,0.8271631014115872,4.744728386680802
2021-06-12 00:30:00,0.0,-0.54,0.09500000000000001,0.6581222888893052,-30.12188857109592
2021-06-12 01:00:00,0.0,-0.54,0.09466666666666668,0.6387995609639082,-29.859385030078503
2021-06-12 01:30:00,0.0,-0.52,0.09466666666666668,0.1957747167854665,-68.47088926150889
2021-06-12 02:00:00,0.0,-0.52,0.09466666666666668,-0.012635266427293845,-88.96944275651417
2021-06-12 02:30:00,0.0,-0.54,0.09466666666666668,-0.012635266427293845,-88.96944275651417
2021-06-12 03:00:00,0.0,-0.51,0.09500000000000001,0.07792675448433328,-56.71455827135024
2021-06-12 03:30:00,0.0,-0.55,0.09500000000000001,0.07792675448433328,-56.71455827135024
2021-06-12 04:00:00,0.0,-0.5,0.09433333333333334,0.030806257260431735,-64.16927241921125
2021-06-12 04:30:00,0.0,-0.42,0.09433333333333334,-0.3300221636082227,-104.06237831182129
2021-06-12 05:00:00,0.0,-0.49,0.09500000000000001,-0.3300221636082227,-104.06237831182129
2021-06-12 05:30:00,0.0,-0.5,0.09500000000000001,0.0,0.0
2021-06-12 06:00:00,0.0,-0.48,0.09433333333333334,-0.30363576611882304,-108.78071277061491
2021-06-12 06:30:00,0.0,-0.39,0.09433333333333334,-0.20928284986578252,-90.04990739674356
2021-06-12 07:00:00,0.0,-0.37,0.09500000000000001,0.10879744019515869,-65.4413770926633
2021-06-12 07:30:00,0.0,-0.43,0.09500000000000001,0.9174215941184938,17.944626708333328
2021-06-12 08:00:00,0.0,-0.48,0.09500000000000001,2.4768839608099693,165.5051417928472
2021-06-12 08:30:00,0.0,-0.65,0.09500000000000001,5.2424276109142625,446.11468090859347
2021-06-12 09:00:00,0.0,-0.72,0.09500000000000001,6.978451768366872,591.9653957085765
2021-06-12 09:30:00,0.0,-0.65,0.09500000000000001,7.717522570039266,699.4327795663119
2021-06-12 10:00:00,0.0,-0.84,0.09466666666666668,11.125506270785557,1011.9374478594616
2021-06-12 10:30:00,0.0,-0.99,0.09466666666666668,14.686059878529669,1364.1916817246033
2021-06-12 11:00:00,0.0,-0.96,0.09400000000000001,14.445696461791051,1334.9134257449975
2021-06-12 11:30:00,0.0,-0.96,0.09400000000000001,17.08104831319841,1569.1676980199413
2021-06-12 12:00:00,0.0,-1.07,0.09366666666666668,18.416580042918454,1711.8019703267773
2021-06-12 12:30:00,0.0,-1.1,0.09366666666666668,15.990329252818977,1464.5059898818986
2021-06-12 13:00:00,0.0,-0.97,0.09333333333333334,16.12017574079639,1487.5129470635482
2021-06-12 13:30:00,0.0,-1.14,0.09333333333333334,18.188093753260684,1671.673603888366
2021-06-12 14:00:00,0.0,-1.31,0.09266666666666667,18.953842851220166,1749.865284076569
2021-06-12 14:30:00,0.0,-1.52,0.09266666666666667,18.410832639398155,1697.8353506572407
2021-06-12 15:00:00,0.0,-1.33,0.09266666666666667,16.18814679936422,1463.7239255986342
2021-06-12 15:30:00,0.0,-1.24,0.09266666666666667,16.25282060151666,1495.8051911201355
2021-06-12 16:00:00,0.0,-1.25,0.09166666666666667,14.277355996947781,1240.148738249831
2021-06-12 16:30:00,0.0,-1.38,0.09166666666666667,15.627855879112847,1379.3323523611787
2021-06-12 17:00:00,0.0,-1.29,0.09233333333333334,16.248200900864948,1497.9131664385984
2021-06-12 17:30:00,0.0,-1.37,0.09233333333333334,17.692109150524434,1634.0195046850636
2021-06-12 18:00:00,0.0,-1.4,0.09300000000000001,17.663305476615154,1618.2726357725674
2021-06-12 18:30:00,0.0,-1.34,0.09300000000000001,18.18009833498192,1662.4187098704554
2021-06-12 19:00:00,0.0,-1.31,0.09300000000000001,18.713112639330134,1745.2127045623095
2021-06-12 19:30:00,0.0,-1.2,0.09300000000000001,17.123549502990365,1588.4698973815327
2021-06-12 20:00:00,0.0,-1.11,0.09033333333333333,15.737267872721368,1407.3830759887549
2021-06-12 20:30:00,0.0,-0.98,0.09033333333333333,13.730317979877801,1242.1318017057658
2021-06-12 21:00:00,0.0,-0.95,0.08966666666666667,10.952989756032945,966.9096452790815
2021-06-12 21:30:00,0.0,-0.84,0.08966666666666667,8.44103353982123,732.7102507654848
2021-06-12 22:00:00,0.0,-0.9,0.08900000000000001,5.712522752607453,453.1530837033591
2021-06-12 22:30:00,0.0,-1.01,0.08900000000000001,4.475642271533141,366.5059951098817
2021-06-12 23:00:00,0.0,-1.0,0.08966666666666667,3.066104150859573,218.42817128594908
2021-06-12 23:30:00,0.0,-0.87,0.08966666666666667,1.991245092320212,84.3697415490814
2021-06-13 00:00:00,0.0,-0.77,0.09033333333333333,1.891463874220844,92.81738641121451
2021-06-13 00:30:00,0.0,-0.66,0.09033333333333333,1.2285872403924807,31.307766196689975
2021-06-13 01:00:00,0.0,-0.6,0.09033333333333333,0.9907628349997504,3.6867149123593563
2021-06-13 01:30:00,0.0,-0.54,0.09033333333333333,0.7387873070441592,-13.260020927698422
2021-06-13 02:00:00,0.0,-0.52,0.09066666666666667,0.31978164211369786,-38.78757473748753
2021-06-13 02:30:00,0.0,-0.5,0.09066666666666667,0.31978164211369786,-38.78757473748753
2021-06-13 03:00:00,0.0,-0.46,0.09133333333333334,-0.1951908926697478,-98.84630620754888
2021-06-13 03:30:00,0.0,-0.38,0.09133333333333334,-0.1951908926697478,-98.84630620754888
2021-06-13 04:00:00,0.0,-0.38,0.09166666666666667,0.0,0.0
2021-06-13 04:30:00,0.0,-0.35,0.09166666666666667,0.0,0.0
2021-06-13 05:00:00,0.0,-0.32,0.09166666666666667,0.0,0.0
2021-06-13 05:30:00,0.0,-0.31,0.09166666666666667,0.0,0.0
2021-06-13 06:00:00,0.0,-0.28,0.09200000000000001,0.0,0.0
2021-06-13 06:30:00,0.0,-0.19,0.09200000000000001,-0.604951823484158,-114.06773082165859
2021-06-13 07:00:00,0.0,-0.22,0.09200000000000001,-0.604951823484158,-114.06773082165859
2021-06-13 07:30:00,0.0,-0.25,0.09200000000000001,-0.0652598878463066,-62.85369427341684
2021-06-13 08:00:00,0.0,-0.24,0.09233333333333334,0.21589284055656516,-54.28940308534727
2021-06-13 08:30:00,0.0,-0.22,0.09233333333333334,0.42875092260046876,-30.990201207224526
2021-06-13 09:00:00,0.0,-0.54,0.09233333333333334,2.8561811813657543,185.3649005233998
2021-06-13 09:30:00,0.0,-0.76,0.09233333333333334,3.364278817329353,249.48141758980995
2021-06-13 10:00:00,0.0,-0.93,0.09200000000000001,6.4096150228254345,551.7808388620161
2021-06-13 10:30:00,0.0,-1.2,0.09200000000000001,12.375965392367009,1172.3939889509168
2021-06-13 11:00:00,0.0,-1.2,0.09166666666666667,14.539101344740043,1403.3162136800088
2021-06-13 11:30:00,0.0,-1.17,0.09166666666666667,14.43483208892904,1311.4534951235798
2021-06-13 12:00:00,0.0,-1.15,0.09066666666666667,14.73870699255762,1403.1339825619382
2021-06-13 12:30:00,0.0,-1.18,0.09066666666666667,15.095595180254213,1418.7951023048272
2021-06-13 13:00:00,0.0,-1.21,0.09033333333333333,16.29652855399134,1517.0060306629844
2021-06-13 13:30:00,0.0,-1.27,0.09033333333333333,18.744495323890902,1778.5674452898618
2021-06-13 14:00:00,0.0,-1.34,0.08966666666666667,19.66370510902929,1868.361238661747
2021-06-13 14:30:00,0.0,-1.65,0.08966666666666667,18.284052693187263,1654.4330375717745
2021-06-13 15:00:00,0.0,-1.73,0.09000000000000001,17.715802304102464,1631.1231627345985
2021-06-13 15:30:00,0.0,-1.77,0.09000000000000001,19.091370397392442,1792.3566310376123
2021-06-13 16:00:00,0.0,-1.81,0.08900000000000001,17.925654843058688,1649.2479393708174
2021-06-13 16:30:00,0.0,-1.63,0.08900000000000001,17.019952376289314,1580.3459505155715
2021-06-13 17:00:00,0.0,-1.62,0.09033333333333333,16.724618632853005,1575.1857337593337
2021-06-13 17:30:00,0.0,-1.57,0.09033333333333333,17.32484948861926,1623.1960957383203
2021-06-13 18:00:00,0.0,-1.51,0.08933333333333333,16.042273331057856,1480.0226396483747
